Name,WHO Region,Cases - cumulative total,Deaths - cumulative total
United States of America,Americas,29921599,543870
Brazil,Americas,12490362,310550
India,South-East Asia,12039644,161843
Russian Federation,Europe,4528543,98033
France,Europe,4472071,94042
The United Kingdom,Europe,4333046,126592
Italy,Europe,3532057,107933
Spain,Europe,3247738,74420
Turkey,Europe,3208173,31076
Germany,Europe,2782273,75913
Colombia,Americas,2375591,62790
Argentina,Americas,2301389,55368
Poland,Europe,2267964,51932
Mexico,Americas,2224767,201429
Iran (Islamic Republic of),Eastern Mediterranean,1855674,62397
Ukraine,Europe,1652409,32132
South Africa,Africa,1545431,52663
Peru,Americas,1520973,51238
Czechia,Europe,1516772,26036
Indonesia,South-East Asia,1496085,40449
Netherlands,Europe,1252437,16465
Chile,Americas,977243,22754
Canada,Americas,961083,22852
Romania,Europe,936618,23114
Belgium,Europe,870757,22897
Iraq,Eastern Mediterranean,832428,14212
Israel,Europe,831084,6165
Portugal,Europe,820407,16837
Sweden,Europe,780018,13402
Philippines,Western Pacific,721892,13170
Pakistan,Eastern Mediterranean,654591,14215
Hungary,Europe,641124,20161
Bangladesh,South-East Asia,595714,8904
Switzerland,Europe,589486,9577
Jordan,Eastern Mediterranean,589316,6554
Serbia,Europe,585506,5190
Austria,Europe,533511,9006
Morocco,Eastern Mediterranean,494659,8798
Japan,Western Pacific,468614,9061
Lebanon,Eastern Mediterranean,461062,6096
United Arab Emirates,Eastern Mediterranean,455197,1481
Saudi Arabia,Eastern Mediterranean,388325,6650
Slovakia,Europe,358115,9542
Panama,Americas,353497,6090
Malaysia,Western Pacific,341944,1255
Bulgaria,Europe,328753,12710
Ecuador,Americas,324482,16738
Belarus,Europe,318681,2219
Kazakhstan,Europe,292306,3696
Georgia,Europe,280472,3765
Nepal,South-East Asia,276839,3027
Bolivia (Plurinational State of),Americas,269302,12165
Croatia,Europe,267522,5911
occupied Palestinian territory including east Jerusalem,Eastern Mediterranean,264934,2834
Azerbaijan,Europe,256201,3491
Greece,Europe,254031,7880
Dominican Republic,Americas,251983,3304
Tunisia,Eastern Mediterranean,250565,8735
Ireland,Europe,234541,4666
Kuwait,Eastern Mediterranean,228299,1286
Denmark,Europe,228013,2414
Republic of Moldova,Europe,226521,4814
Costa Rica,Americas,215178,2931
Lithuania,Europe,214365,3560
Slovenia,Europe,212679,4310
Paraguay,Americas,206597,4003
Ethiopia,Africa,200563,2801
Egypt,Eastern Mediterranean,200050,11882
Guatemala,Americas,193050,6794
Armenia,Europe,190741,3476
Honduras,Americas,187015,4557
Qatar,Eastern Mediterranean,177774,284
Bosnia and Herzegovina,Europe,164931,6328
Nigeria,Africa,162593,2048
